,Critics Score,Release Date,Title,User Score
162,66,"Oct 18, 2018",Sinner:SacrificeforRedemption(XONE),6.7
163,65,"Dec  4, 2018",JustCause4(PS4),5.5
164,65,"Nov  6, 2018",OmenofSorrow(PS4),6.0
165,65,"Oct  9, 2018",PunchLine(PS4),4.6
166,64,"Nov 13, 2018",KnowledgeisPower:Decades(PS4),4.1
167,64,"Nov  9, 2018",Townsmen(Switch),tbd
168,64,"Dec  4, 2018",TheCouncil-Episode5:Checkmate(PC),tbd
169,63,"Nov 27, 2018",DarksidersIII(PS4),7.6
170,63,"Oct 18, 2018",Sinner:SacrificeforRedemption(PC),4.5
171,63,"Oct 30, 2018",GalMetal(Switch),6.2
172,63,"Dec 20, 2018",BattlePrincessMadelyn(Switch),6.2
173,63,"Nov 20, 2018",FarmingSimulator19(PS4),4.7
174,63,"Dec  6, 2018",JaggedAlliance:Rage!(PC),2.3
175,63,"Oct 30, 2018",CallofCthulhu(PS4),7.2
176,62,"Nov 23, 2018",Achtung!CthulhuTactics(XONE),tbd
177,62,"Oct 16, 2018",NBA2KPlaygrounds2(XONE),6.7
178,62,"Nov 29, 2018",Asterix&ObelixXXL2(XONE),tbd
179,62,"Nov 13, 2018",Chimparty(PS4),6.4
180,61,"Oct 16, 2018",FastStriker(PS4),tbd
181,60,"Nov  6, 2018",GRIP:CombatRacing(Switch),5.6
182,60,"Dec  4, 2018",Override:MechCityBrawl(PS4),tbd
183,60,"Oct 16, 2018",WarriorsOrochi4(Switch),6.5
184,59,"Nov  6, 2018",RoadRedemption(PS4),4.0
185,58,"Dec 11, 2018",DesertChild(PS4),tbd
186,58,"Oct 18, 2018",SINNER:SacrificeforRedemption(Switch),6.0
187,57,"Oct 18, 2018",Sinner:SacrificeforRedemption(PS4),3.9
188,56,"Dec  4, 2018",Gear.ClubUnlimited2(Switch),6.2
189,54,"Dec 13, 2018",RollerCoasterTycoonAdventures(Switch),5.4
190,53,"Nov 14, 2018",Fallout76(PS4),2.5
191,52,"Nov 14, 2018",Fallout76(PC),2.6
192,52,"Nov  6, 2018",OVERKILL'sTheWalkingDead(PC),5.7
193,49,"Nov 14, 2018",Fallout76(XONE),2.4
194,49,"Oct 23, 2018",NickelodeonKartRacers(XONE),6.3
195,44,"Dec 11, 2018",GungraveVR(PS4),3.4
196,42,"Oct 23, 2018",NickelodeonKartRacers(PS4),4.6
197,39,"Oct 23, 2018",NickelodeonKartRacers(Switch),5.1
198,39,"Oct 16, 2018",HeavyFire:RedShadow(PS4),2.9
199,38,"Nov 15, 2018",UnderworldAscendant(PC),2.1
200,34,"Nov 30, 2018",ARK:SurvivalEvolved(Switch),3.7
201,29,"Nov  1, 2018",TheQuietMan(PS4),2.4
202,,,DaysGone,
203,,,KingdomHearts:All-in-OnePackage,
204,,,BumSimulator,
205,,,FitnessBoxing,
